Ticket.ID,Ticket.Created,Date.of.Issue,Time.of.Issue,Form,Method,Issue,Caller.ID.Number,Type.of.Call.or.Messge,Advertiser.Business.Number,Zip,Location..Center.point.of.the.Zip.Code.
1000951,05/25/2016 05:42:11 PM +0000,5/25/2016,12:00 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),773-897-0181,Prerecorded Voice,773-897-0181,16102,"PA 16102
(40.963303, -80.402268)"
1001517,05/25/2016 08:26:18 PM +0000,5/23/2016,8:00 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,877-273-7626,Prerecorded Voice,888-438-2427,81226,"CO 81226
(38.356776, -105.132949)"
1001093,05/25/2016 06:25:16 PM +0000,5/25/2016,1:20 PM,Phone,Internet (VOIP),Robocalls,508-407-9788,Prerecorded Voice,NA,2129,"MA 02129
(42.377959, -71.064544)"
1031492,06/11/2016 06:24:02 PM +0000,4/1/2016,8:00 p.m.,Phone,Wired,Robocalls,323-729-3077,Prerecorded Voice,606-585-3661,78250,"TX 78250
(29.504709, -98.665845)"
1001028,05/25/2016 06:03:17 PM +0000,5/25/2016,12:52 p.m.,Phone,Wired,Robocalls,855-202-9085,Prerecorded Voice,855-202-9085,33569,"FL 33569
(27.848422, -82.299323)"
1107690,07/28/2016 03:12:54 AM +0000,7/27/2016,6:44 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),714-262-4628,Live Voice,NA,90706,"CA 90706
(33.88777, -118.127923)"
1000647,05/25/2016 04:07:33 PM +0000,5/25/2016,10:32 AM,Phone,Wired,Robocalls,407-602-8902,Abandoned Calls,NA,34741,"FL 34741
(28.310473, -81.424424)"
1001651,05/25/2016 09:08:52 PM +0000,5/25/2016,10:46 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,888-338-5304,Prerecorded Voice,866-487-8320,84721,"UT 84721
(37.747925, -113.0862)"
1000521,05/25/2016 03:32:55 PM +0000,5/25/2016,10:24 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,347-518-1701,Prerecorded Voice,NA,10512,"NY 10512
(41.444541, -73.696731)"
1001926,05/25/2016 10:31:05 PM +0000,5/25/2016,5:14 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Prerecorded Voice,216-323-2314,48170,"MI 48170
(42.370003, -83.501583)"
1024710,06/08/2016 03:12:19 AM +0000,6/7/2016,9:45 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),567-244-4731,Live Voice,567-244-4731,33068,"FL 33068
(26.216056, -80.217416)"
1182192,09/08/2016 02:57:24 PM +0000,9/8/2016,9:52 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,202-864-0121,Prerecorded Voice,NA,7450,"NJ 07450
(40.98276, -74.112622)"
1182165,09/08/2016 02:46:44 PM +0000,9/8/2016,9:40 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,202-864-0121,Prerecorded Voice,NA,1440,"MA 01440
(42.577084, -71.989255)"
1000691,05/25/2016 04:23:48 PM +0000,5/25/2016,10:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),512-219-9194,Live Voice,NA,78748,"TX 78748
(30.166107, -97.825259)"
1107688,07/28/2016 03:08:45 AM +0000,7/27/2016,5:15 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),760-330-5173,Prerecorded Voice,NA,93527,"CA 93527
(35.690512, -117.854366)"
1106598,07/27/2016 07:30:23 PM +0000,7/27/2016,2:20 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,347-594-5558,Prerecorded Voice,347-594-5558,43212,"OH 43212
(39.986959, -83.04267)"
1000873,05/25/2016 05:21:31 PM +0000,5/25/2016,11:04 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Abandoned Calls,202-456-7856,64068,"MO 64068
(39.252954, -94.412372)"
1000426,05/25/2016 02:34:58 PM +0000,5/25/2016,8:58 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Prerecorded Voice,NA,23456,"VA 23456
(36.749223, -76.054108)"
1002412,05/26/2016 02:38:21 AM +0000,5/19/2016,5:35 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Abandoned Calls,860-776-0086,653,"CT 00653-1605
(17.992983, -66.898712)"
1002291,05/26/2016 01:16:06 AM +0000,5/24/2016,9:25 AM,Phone,Wired,Telemarketing (including do not call and spoofing),866-239-0179,Abandoned Calls,NA,75758,"TX 75758
(32.261679, -95.515713)"
1182209,09/08/2016 03:08:13 PM +0000,9/8/2016,9:52 AM,Phone,Wired,Robocalls,202-870-5891,Abandoned Calls,NA,27896,"NC 27896
(35.776874, -77.961744)"
1107134,07/27/2016 10:08:58 PM +0000,7/27/2016,11:56 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),586-261-8055,Prerecorded Voice,NA,11554,"NY 11554
(40.716032, -73.556907)"
1107051,07/27/2016 09:45:27 PM +0000,7/27/2016,3:51 PM,Phone,Wired,Robocalls,202-873-7086,Prerecorded Voice,202-873-7086,33569,"FL 33569
(27.848422, -82.299323)"
1000754,05/25/2016 04:42:59 PM +0000,5/25/2016,11:35 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),215-405-2385,Prerecorded Voice,NA,19064,"PA 19064
(39.931914, -75.338256)"
1002405,05/26/2016 02:35:15 AM +0000,5/19/2016,5:29 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Abandoned Calls,860-776-0086,653,"CT 00653-1605
(17.992983, -66.898712)"
1182458,09/08/2016 04:46:03 PM +0000,9/8/2016,11:34 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,267-968-1183,Prerecorded Voice,NA,19046,"PA 19046
(40.100158, -75.107926)"
1001800,05/25/2016 09:59:37 PM +0000,5/25/2016,4:55 p.m.,Phone,Wireless (cell phone/other mobile device),Robocalls,714-455-1321,Prerecorded Voice,NA,7675,"NJ 07675
(41.005153, -74.009555)"
1001054,05/25/2016 06:09:57 PM +0000,5/25/2016,11:38 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,517-207-7037,Prerecorded Voice,517-207-7037,32401,"FL 32401
(30.161715, -85.652692)"
1182461,09/08/2016 04:47:58 PM +0000,9/7/2016,12:17 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),NA,Live Voice,NA,24060,"VA 24060
(37.233496, -80.435959)"
1106340,07/27/2016 06:10:39 PM +0000,7/27/2016,9:56 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),309-472-7298,Prerecorded Voice,NA,97223,"OR 97223-2864
(45.44045, -122.780269)"
1001355,05/25/2016 07:43:11 PM +0000,5/25/2016,11:39 A.M.,Phone,Wired,Telemarketing (including do not call and spoofing),828-465-6494,Prerecorded Voice,NA,28613,"NC 28613-1618
(35.715289, -81.206391)"
1000952,05/25/2016 05:42:19 PM +0000,5/25/2016,11:30 AM,Phone,Wired,Robocalls,NA,Prerecorded Voice,NA,60477,"IL 60477-6430
(41.560582, -87.782095)"
1001821,05/25/2016 10:07:54 PM +0000,5/25/2016,4:31 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),201-678-0595,Prerecorded Voice,NA,8070,"NJ 08070
(39.641701, -75.516733)"
1002227,05/26/2016 12:43:26 AM +0000,5/25/2016,6:22 PM,Phone,Wired,Robocalls,763-307-5755,Prerecorded Voice,NA,1720,"MA 01720
(42.480623, -71.442053)"
1105927,07/27/2016 03:35:17 PM +0000,7/27/2016,9:25 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,641-751-1633,Prerecorded Voice,NA,55104,"MN 55104
(44.954046, -93.160955)"
1002028,05/25/2016 11:03:13 PM +0000,5/25/2016,5:52 PM,Phone,Wired,Robocalls,NA,Prerecorded Voice,NA,25438,"WV 25438
(39.308836, -77.857019)"
1182189,09/08/2016 02:56:25 PM +0000,9/8/2016,7:30 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),114-287-5579,Abandoned Calls,NA,80816,"CO 80816
(38.836644, -105.245303)"
1001403,05/25/2016 07:51:07 PM +0000,5/25/2016,2:43 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,206-451-5358,Prerecorded Voice,206-451-5358,33028,"FL 33028
(26.018896, -80.34618)"
1056281,06/27/2016 04:36:37 AM +0000,6/13/2016,1:20 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Live Voice,800-362-0272,66860,"KS 66860
(38.123401, -96.127307)"
1001465,05/25/2016 08:08:37 PM +0000,5/25/2016,12:05 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,231-354-2404,Prerecorded Voice,NA,85710,"AZ 85710
(32.213472, -110.823976)"
1106950,07/27/2016 09:20:17 PM +0000,7/27/2016,2:00 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),302-231-1560,Abandoned Calls,NA,19805,"DE 19805
(39.744809, -75.588638)"
1001799,05/25/2016 09:59:11 PM +0000,5/25/2016,4:50 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Prerecorded Voice,NA,27103,"NC 27103
(36.062417, -80.315251)"
1182254,09/08/2016 03:25:20 PM +0000,9/8/2016,10:15 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),212-470-9111,Live Voice,212-470-9111,19103,"PA 19103
(39.953128, -75.173591)"
1105851,07/27/2016 02:47:12 PM +0000,7/25/2016,5:10 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),801-545-1800,Live Voice,NA,99517,"AK 99517
(61.189309, -149.936622)"
1106522,07/27/2016 07:05:58 PM +0000,7/25/2016,11:00 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),NA,Live Voice,NA,20830,"MD 20830
(39.156297, -77.06613)"
1001045,05/25/2016 06:07:41 PM +0000,5/25/2016,1:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),802-379-2198,Prerecorded Voice,802-379-2198,44870,"OH 44870
(41.414322, -82.71372)"
1031988,06/12/2016 03:18:43 AM +0000,6/11/2016,7:03 PM,Phone,Wired,Telemarketing (including do not call and spoofing),NA,Live Voice,417-855-2070,85044,"AZ 85044
(33.334173, -111.988282)"
1000507,05/25/2016 03:31:48 PM +0000,5/25/2016,10:20 AM,Phone,Wired,Robocalls,NA,Prerecorded Voice,214-702-5736,10306,"NY 10306
(40.568821, -74.11862)"
1001920,05/25/2016 10:29:41 PM +0000,5/25/2016,5:27 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,864-721-8008,Abandoned Calls,NA,22206,"VA 22206
(38.842638, -77.089068)"
1182174,09/08/2016 02:52:33 PM +0000,5/1/2016,8:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),940-427-1017,Abandoned Calls,NA,76367,"TX 76367
(33.958757, -98.688423)"
1000628,05/25/2016 04:03:56 PM +0000,5/25/2016,7:56 AM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),404-220-7215,Live Voice,NA,94115,"CA 94115
(37.78557, -122.437361)"
1106369,07/27/2016 06:17:22 PM +0000,7/27/2016,NA,Phone,Wireless (cell phone/other mobile device),Robocalls,NA,Autodialed Live Voice Call,NA,10025,"NY 10025
(40.797862, -73.96578)"
1182454,09/08/2016 04:44:40 PM +0000,9/8/2016,11:30 A.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),561-719-8892,Prerecorded Voice,NA,13905,"NY 13905-1128
(42.148265, -75.913787)"
1182197,09/08/2016 03:01:04 PM +0000,9/6/2016,2:36 PM,Phone,Wired,Telemarketing (including do not call and spoofing),608-302-6942,Live Voice,877-391-3514,53901,"WI 53901
(43.552823, -89.4814)"
1182393,09/08/2016 04:27:15 PM +0000,9/8/2016,10:23 AM,Phone,Wired,Robocalls,316-282-3236,Autodialed Live Voice Call,NA,76367,"TX 76367
(33.958757, -98.688423)"
1000847,05/25/2016 05:13:24 PM +0000,5/25/2016,11:50 AM,Phone,Wired,Robocalls,NA,Abandoned Calls,916-282-3809,30134,"GA 30134
(33.773718, -84.77099)"
1000532,05/25/2016 03:34:42 PM +0000,5/25/2016,9:13 a.m.,Phone,Wired,Telemarketing (including do not call and spoofing),312-291-4832,Live Voice,NA,48509,"MI 48509
(43.024184, -83.604224)"
1107105,07/27/2016 09:58:33 PM +0000,7/27/2016,4:15 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),855-995-3360,Live Voice,877-515-8567,28205,"NC 28205
(35.22064, -80.78853)"
1000610,05/25/2016 04:00:47 PM +0000,5/25/2016,11:00 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,954-688-4664,Autodialed Live Voice Call,NA,22310,"VA 22310
(38.784528, -77.124306)"
1106818,07/27/2016 08:43:45 PM +0000,7/27/2016,2:34 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),719-368-4594,Abandoned Calls,NA,35040,"AL 35040
(33.112993, -86.741563)"
1000319,05/25/2016 12:51:35 PM +0000,3/7/2016,12:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),619-840-7262,Live Voice,619-840-7262,92078,"CA 92078
(33.122635, -117.190612)"
1001221,05/25/2016 07:01:00 PM +0000,5/25/2016,12:48 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),213-141-5163,Prerecorded Voice,347-478-5055,75023,"TX 75023
(33.056173, -96.734404)"
1145348,08/18/2016 12:38:31 PM +0000,8/16/2016,4:32 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),256-510-2225,Live Voice,NA,20005,"DC 20005
(38.904625, -77.031531)"
1001413,05/25/2016 07:54:17 PM +0000,5/25/2016,11:42 AM,Phone,Wireless (cell phone/other mobile device),Robocalls,213-221-6237,Abandoned Calls,NA,95860,"CA 95860
(38.582087, -121.50012)"
1001277,05/25/2016 07:23:02 PM +0000,5/25/2016,1:52 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),330-754-2917,Live Voice,NA,45614,"OH 45614
(38.920949, -82.280769)"
1001661,05/25/2016 09:13:50 PM +0000,5/25/2016,10:20 AM,Phone,Wired,Telemarketing (including do not call and spoofing),585-865-5238,Live Voice,NA,14606,"NY 14606
(43.170242, -77.690241)"
1001609,05/25/2016 08:55:20 PM +0000,5/25/2016,12:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),NA,Prerecorded Voice,NA,2026,"MA 02026
(42.244095, -71.17037)"
1031782,06/11/2016 10:43:26 PM +0000,6/11/2016,5:10 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),732-904-6664,Live Voice,NA,7748,"NJ 07748
(40.398623, -74.116757)"
1002041,05/25/2016 11:08:45 PM +0000,5/24/2016,3:33 PM,Phone,Wired,Telemarketing (including do not call and spoofing),716-442-3215,Abandoned Calls,NA,18062,"PA 18062
(40.518028, -75.572458)"
1060055,06/28/2016 11:06:53 PM +0000,6/28/2016,2:57 p.m.,Phone,Wired,Robocalls,202-124-5225,Prerecorded Voice,202-124-5225,91105,"CA 91105
(34.138699, -118.166094)"
1107208,07/27/2016 10:39:45 PM +0000,7/27/2016,5:30 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),301-639-7715,Abandoned Calls,NA,21769,"MD 21769-7852
(39.441614, -77.525154)"
1002073,05/25/2016 11:23:34 PM +0000,5/25/2016,4:27 PM,Phone,Wired,Telemarketing (including do not call and spoofing),NA,Live Voice,NA,71360,"LA 71360
(31.337027, -92.36968)"
1001304,05/25/2016 07:30:33 PM +0000,5/25/2016,2:19 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),331-240-3132,Prerecorded Voice,NA,20007,"DC 20007
(38.913807, -77.076816)"
1001393,05/25/2016 07:48:46 PM +0000,5/4/2016,12:15 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),713-502-4701,Prerecorded Voice,NA,77007,"TX 77007
(29.7724, -95.403851)"
1001072,05/25/2016 06:15:37 PM +0000,5/25/2016,12:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),NA,Live Voice,302-482-8155,32038,"FL 32038
(29.932325, -82.703498)"
1106414,07/27/2016 06:30:31 PM +0000,7/27/2016,11:20 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),900-999-9999,Prerecorded Voice,425-312-7268,87110,"NM 87110
(35.107972, -106.577935)"
1106938,07/27/2016 09:17:46 PM +0000,7/27/2016,2:47 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,206-391-7046,Prerecorded Voice,NA,42419,"KY 42419-0392
(37.84, -87.59)"
