case_ID,wave,year,weight_wave,weight_aggregate,happening,cause_original,cause_other_text,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,reg_utilities,fund_research,reg_coal_emissions,discuss_GW,hear_GW_media,gender,age,age_category,generation,educ,educ_category,minincome,income_category,race,ideology,party,party_w_leaners,party_x_ideo,registered_voter,region9,region4,religion,religion_other_nonchristian,evangelical,service_attendance,marit_status,employment,house_head,house_size,house_ages0to1,house_ages2to5,house_ages6to12,house_ages13to17,house_ages18plus,house_type,house_own
49,1,1,0.16,0.08723028,3,1,,6,4,4,3,3,4,4,4,4,4,4,4,NA,3,NA,1,51,2,4,9,2,40000,1,3,2,2,2,1,1,3,2,15,,2,1,1,1,2,2,0,0,0,0,2,1,1
50,1,1,1.17,0.63787139,3,1,,6,2,3,2,3,4,4,4,6,3,4,3,NA,3,NA,2,19,1,2,10,3,75000,2,1,2,3,1,4,1,6,3,1,,2,5,5,1,1,6,0,0,1,2,3,1,1
51,1,1,0.63,0.34346921,1,4,,3,4,1,1,1,1,1,1,1,2,1,3,NA,3,NA,2,38,2,3,13,4,125000,3,1,5,3,1,5,1,5,3,2,,1,6,1,7,2,7,0,1,4,0,2,1,1
52,1,1,0.49,0.26714272,3,1,,6,4,4,2,3,4,4,4,3,4,4,4,NA,4,NA,1,30,1,3,12,4,30000,1,3,2,3,2,1,1,6,3,2,,2,6,1,1,1,2,0,0,0,0,2,1,3
53,1,1,0.8,0.43615138,3,3,caused by natural changes but expeditued due to human activities,5,2,3,2,3,3,3,3,6,3,3,4,NA,3,NA,1,44,2,4,13,4,150000,3,1,2,2,2,1,1,9,4,3,,2,2,6,1,2,2,0,0,0,0,2,1,1
54,1,1,0.92,0.50157408,3,1,,6,2,4,1,1,4,4,4,6,3,3,3,NA,3,NA,2,33,1,3,9,2,60000,2,1,3,2,2,2,1,9,4,12,,3,1,6,6,2,2,0,0,0,0,2,4,1
56,1,1,0.55,0.29985407,1,2,,4,4,1,1,1,1,1,1,1,1,1,3,NA,3,NA,2,31,1,3,11,3,50000,2,1,5,1,1,5,1,8,4,4,,2,5,1,1,2,3,0,0,1,0,2,1,1
58,1,1,1.17,0.63787139,2,2,,4,2,2,4,4,4,4,4,1,2,4,3,NA,1,NA,2,56,3,4,10,3,100000,3,1,4,1,1,5,1,7,3,2,,2,2,6,1,2,1,0,0,0,0,1,2,1
59,1,1,0.79,0.43069948,3,1,,6,4,3,3,4,4,4,4,5,4,4,4,NA,3,NA,1,56,3,4,9,2,30000,1,1,2,2,2,1,1,6,3,3,,2,1,1,6,2,1,0,0,0,0,1,1,1
61,1,1,0.17,0.09268217,3,2,,4,2,2,1,1,1,1,3,2,4,3,4,NA,1,NA,1,68,3,5,10,3,100000,3,1,4,3,1,5,1,6,3,1,,2,2,1,2,2,2,0,0,0,0,2,1,1
62,1,1,0.93,0.50702598,3,1,,6,4,4,2,3,3,4,4,6,4,4,4,NA,2,NA,2,72,3,5,9,2,5000,1,1,3,2,2,2,1,5,3,3,,2,1,3,5,2,1,0,0,0,0,1,4,1
63,1,1,1.15,0.6269676,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,-1,NA,2,26,1,2,9,2,30000,1,1,-1,-1,-1,-1,-1,8,4,-1,,-1,-1,1,6,2,4,0,0,0,0,4,1,2
64,1,1,0.4,0.21807569,1,2,,4,3,1,3,3,3,3,3,1,4,4,4,NA,3,NA,1,77,3,5,9,2,60000,2,1,5,4,1,5,1,7,3,2,,2,5,1,5,2,2,0,0,0,0,2,2,1
65,1,1,2.5,1.36297305,3,1,,6,4,3,3,3,3,3,3,6,3,3,3,NA,1,NA,1,54,2,4,12,4,60000,2,1,2,2,2,1,1,4,2,11,,2,1,3,1,2,1,0,0,0,0,1,3,2
66,1,1,0.14,0.07632649,1,2,,4,1,3,3,3,3,3,3,1,3,3,3,NA,1,NA,1,22,1,2,9,2,60000,2,3,3,2,2,2,1,2,1,1,,1,5,5,1,1,3,0,0,0,0,3,1,1
67,1,1,0.42,0.22897947,1,4,,3,4,2,1,1,1,1,1,1,3,4,4,NA,2,NA,2,74,3,5,9,2,7500,1,1,4,4,3,3,1,4,2,11,,1,6,2,5,2,2,0,0,0,0,2,1,1
68,1,1,0.56,0.30530596,2,2,,4,2,2,0,0,0,0,0,2,3,2,3,NA,1,NA,2,73,3,5,9,2,75000,2,1,5,1,1,5,1,9,4,4,,2,2,1,5,2,4,0,0,0,0,4,1,1
69,1,1,1.48,0.80688005,3,1,,6,4,3,3,4,4,4,4,5,3,3,3,NA,3,NA,2,29,1,3,12,4,30000,1,1,2,2,2,1,1,4,2,3,,2,3,5,1,2,1,0,0,0,0,1,1,1
70,1,1,2.62,1.42839576,3,2,,4,2,2,2,2,3,3,3,2,4,4,4,NA,2,NA,2,31,1,3,12,4,85000,2,3,5,1,1,5,1,8,4,4,,2,6,1,7,2,5,1,2,0,0,2,1,1
71,1,1,0.44,0.23988326,3,1,,6,4,3,2,3,3,4,3,6,-1,4,4,NA,3,NA,2,34,1,3,12,4,125000,3,1,3,3,2,2,1,5,3,2,,2,4,1,7,1,3,1,0,0,0,2,1,1
72,1,1,1.3,0.70874599,3,1,,6,2,3,0,0,0,0,0,6,4,4,3,NA,3,NA,1,54,2,4,9,2,5000,1,1,3,3,3,3,1,2,1,2,,2,3,3,6,1,2,0,0,0,0,2,1,1
73,1,1,2.93,1.59740442,2,2,,4,4,2,3,3,3,3,3,2,3,2,3,NA,2,NA,1,32,1,3,12,4,0,1,2,2,2,2,1,1,3,2,1,,1,6,5,4,1,2,0,0,0,0,2,3,2
74,1,1,0.74,0.40344002,1,3,caused by the sun and things that are not within man's control,4,2,1,1,1,1,1,1,1,1,1,3,NA,3,NA,2,58,3,4,12,4,175000,3,1,4,3,1,5,1,7,3,2,,1,4,1,7,2,2,0,0,0,0,2,1,1
75,1,1,3.48,1.89725849,3,1,,6,4,4,3,3,4,4,4,6,4,4,3,NA,3,NA,1,38,2,3,12,4,25000,1,2,3,2,2,2,1,7,3,1,,1,1,5,1,1,3,0,0,0,0,3,1,1
76,1,1,1.8,0.9813406,3,2,,4,4,2,0,0,3,4,4,6,3,1,3,NA,2,NA,2,63,3,5,9,2,15000,1,2,2,2,2,1,1,5,3,11,,2,5,2,5,2,1,0,0,0,0,1,3,2
77,1,1,0.48,0.26169083,2,2,,4,2,3,0,0,3,3,3,3,4,4,4,NA,2,NA,1,81,3,6,12,4,85000,2,1,5,1,1,5,1,9,4,2,,2,2,1,5,2,2,0,0,0,0,2,3,1
78,1,1,0.91,0.49612219,3,1,,6,4,2,2,2,3,3,3,5,3,2,4,NA,2,NA,1,18,1,2,9,2,100000,3,1,3,3,1,4,2,9,4,3,,2,3,5,1,1,3,0,0,0,0,3,1,1
79,1,1,0.63,0.34346921,3,1,,6,2,3,2,2,4,3,3,5,3,3,4,NA,3,NA,1,36,2,3,12,4,175000,3,1,3,1,1,4,1,2,1,5,,2,3,5,4,2,1,0,0,0,0,1,3,1
80,1,1,0.69,0.37618056,3,1,,6,4,3,2,3,4,4,4,4,3,2,4,NA,3,NA,1,36,2,3,10,3,35000,1,1,3,3,3,3,1,2,1,15,,2,1,1,1,2,4,0,1,1,0,2,1,1
81,1,1,1.06,0.57790057,1,3,Global warming is a natural process.  Temperatures fluctuate.,4,2,2,1,1,3,1,2,1,2,4,3,NA,2,NA,1,18,1,2,9,2,175000,3,1,2,2,2,1,1,5,3,10,,3,5,5,1,1,5,0,1,0,1,3,2,1
82,1,1,0.42,0.22897947,3,1,,6,4,3,2,4,4,4,4,5,3,4,4,NA,2,NA,1,71,3,5,9,2,60000,2,1,3,2,2,2,1,7,3,2,,3,1,3,5,2,1,0,0,0,0,1,1,1
83,1,1,1.34,0.73055356,3,1,,6,1,3,0,0,0,3,0,6,3,2,3,NA,2,NA,2,50,2,4,9,2,40000,1,1,3,3,3,3,1,9,4,11,,1,3,2,1,2,2,0,0,0,0,2,3,1
84,1,1,0.32,0.17446055,3,1,,6,2,2,1,2,2,2,2,4,3,4,3,NA,2,NA,1,75,3,5,9,2,35000,1,1,3,2,2,2,1,5,3,2,,2,2,1,5,2,2,0,0,0,0,2,1,1
85,1,1,1.15,0.6269676,3,1,,6,4,2,0,0,4,4,4,6,4,4,4,NA,2,NA,2,51,2,4,12,4,85000,2,1,1,2,2,1,1,7,3,3,,2,5,5,1,2,1,0,0,0,0,1,1,2
86,1,1,1.05,0.57244868,2,2,,4,1,2,1,1,3,3,3,1,-1,-1,-1,NA,2,NA,2,24,1,2,12,4,75000,2,1,4,1,1,5,1,9,4,2,,2,3,5,1,2,3,0,0,0,0,3,3,1
87,1,1,0.77,0.4197957,3,2,,4,2,2,1,1,1,0,0,1,3,2,3,NA,3,NA,2,50,2,4,11,3,150000,3,1,5,1,1,5,1,6,3,1,,1,6,1,1,2,3,0,0,0,0,3,1,1
88,1,1,0.74,0.40344002,2,3,rockets breaking up ozone,6,4,3,3,3,3,3,3,3,3,4,4,NA,1,NA,2,38,2,3,9,2,50000,2,1,3,1,1,4,1,8,4,11,,2,2,5,1,2,1,0,0,0,0,1,4,1
89,1,1,0.55,0.29985407,1,2,,4,2,1,1,1,1,1,1,1,1,1,3,NA,2,NA,2,73,3,5,12,4,50000,2,1,4,3,3,3,1,2,1,2,,1,6,2,1,2,1,0,0,0,0,1,1,1
90,1,1,0.46,0.25078704,3,3,I don't know.,1,4,2,0,0,0,0,0,-1,3,2,3,NA,2,NA,1,37,2,3,12,4,175000,3,1,4,1,1,5,1,5,3,2,,2,2,1,1,2,6,0,3,0,0,3,1,1
91,1,1,0.5,0.27259461,3,1,,6,4,4,2,4,4,4,4,4,4,-1,4,NA,2,NA,2,44,2,4,14,4,50000,2,4,1,2,2,1,1,3,2,15,,2,1,4,1,2,3,0,0,1,0,2,2,1
92,1,1,1.99,1.08492655,1,2,,4,3,1,1,0,0,0,1,1,-1,4,4,NA,2,NA,2,71,3,5,7,1,40000,1,4,5,1,1,5,1,4,2,3,,1,5,1,5,2,2,0,0,0,0,2,1,1
94,1,1,1.2,0.65422706,3,1,,6,4,3,2,2,4,4,4,2,4,4,4,NA,2,NA,1,32,1,3,13,4,85000,2,1,2,2,2,1,1,3,2,2,,2,3,1,1,2,3,0,1,0,0,2,1,1
95,1,1,1.2,0.65422706,3,3,Caused by cyclical changes in the earth & sun.,4,2,1,1,1,2,1,1,1,1,1,3,NA,1,NA,1,65,3,5,12,4,175000,3,1,4,1,1,5,1,5,3,1,,2,1,1,1,2,2,0,0,0,0,2,1,1
96,1,1,2.12,1.15580115,3,2,,4,2,1,1,1,1,1,1,1,1,1,3,NA,3,NA,1,19,1,2,10,3,100000,3,1,5,1,1,5,1,5,3,2,,1,6,5,7,2,5,0,0,0,1,4,1,1
97,1,1,0.79,0.43069948,3,1,,6,4,4,4,4,4,4,4,6,3,4,3,NA,3,NA,2,55,3,4,12,4,100000,3,2,3,2,2,2,1,2,1,3,,2,5,1,7,2,2,0,0,0,0,2,2,1
98,1,1,0.81,0.44160327,3,1,,6,2,3,2,2,2,4,3,2,2,4,4,NA,2,NA,1,54,2,4,10,3,85000,2,1,3,1,1,4,1,6,3,2,,2,5,1,1,2,4,0,0,0,1,3,1,1
99,1,1,0.33,0.17991244,3,1,,6,4,3,3,4,4,4,4,6,3,4,4,NA,3,NA,1,70,3,5,12,4,60000,2,1,2,2,2,1,1,5,3,12,,2,2,6,5,2,2,0,0,0,0,2,1,1
100,1,1,0.88,0.47976651,3,2,,4,2,2,0,0,0,0,0,3,1,2,4,NA,2,NA,2,29,1,3,12,4,100000,3,1,3,4,1,4,1,3,2,15,,2,1,1,1,2,3,0,0,0,0,3,1,1
101,1,1,0.55,0.29985407,3,1,,6,2,4,2,3,4,4,4,6,4,3,4,NA,3,NA,2,72,3,5,13,4,60000,2,1,3,2,2,2,1,9,4,2,,2,3,2,5,2,1,0,0,0,0,1,1,1
102,1,1,0.34,0.18536434,1,2,,4,3,1,1,1,1,1,1,1,3,3,4,NA,1,NA,1,66,3,5,9,2,40000,1,1,4,1,1,5,1,5,3,2,,2,3,1,2,2,2,0,0,0,0,2,1,1
103,1,1,1.04,0.56699679,3,2,,4,2,3,1,4,3,4,3,3,3,2,4,NA,3,NA,1,69,3,5,12,4,85000,2,1,4,1,1,5,1,3,2,3,,2,6,1,5,2,5,0,0,0,0,5,1,1
104,1,1,1.04,0.56699679,3,2,,4,4,3,0,0,0,-1,0,5,4,2,3,NA,3,NA,1,37,2,3,10,3,60000,2,3,3,3,3,3,1,5,3,1,,1,2,1,1,2,2,0,0,0,0,2,1,1
105,1,1,2.3,1.25393521,3,1,,6,2,3,2,2,3,2,2,5,3,4,3,NA,3,NA,1,19,1,2,9,2,125000,3,3,4,1,1,5,1,9,4,5,,2,4,5,1,1,3,0,0,0,0,3,1,1
106,1,1,0.24,0.13084541,2,2,,4,2,2,1,2,2,2,2,2,3,2,3,NA,1,NA,1,72,3,5,12,4,50000,2,1,4,1,1,5,1,1,1,2,,2,1,3,5,2,1,0,0,0,0,1,1,1
107,1,1,1.21,0.65967896,3,3,god,2,1,2,0,0,0,0,0,5,3,2,3,NA,2,NA,2,53,2,4,9,2,10000,1,1,3,5,4,-2,2,2,1,9,,1,2,4,1,2,1,0,0,0,0,1,3,2
108,1,1,0.29,0.15810487,3,1,,6,4,4,3,4,4,4,4,5,4,3,2,NA,3,NA,2,65,3,5,9,2,40000,1,1,4,1,1,5,1,9,4,2,,2,2,1,2,2,2,0,0,0,0,2,1,1
109,1,1,1.15,0.6269676,1,2,,4,2,2,0,0,0,0,0,2,2,3,3,NA,2,NA,2,65,3,5,10,3,40000,1,1,4,1,1,5,1,9,4,1,,2,2,3,1,2,3,0,0,1,0,2,2,2
110,1,1,1.18,0.64332328,3,1,,6,2,4,0,0,0,4,4,6,4,3,4,NA,3,NA,2,47,2,4,9,2,100000,3,1,3,2,2,2,1,9,4,9,,1,3,1,1,2,4,0,1,0,0,3,1,1
111,1,1,2.22,1.21032007,3,1,,6,4,3,3,4,4,4,4,6,4,3,4,NA,3,NA,2,56,3,4,10,3,7500,1,1,3,1,1,4,1,2,1,2,,2,5,3,6,2,1,0,0,0,0,1,1,1
112,1,1,0.66,0.35982489,1,2,,4,2,1,2,2,2,2,2,1,3,3,2,NA,3,NA,2,59,3,4,13,4,125000,3,1,4,1,1,5,1,5,3,1,,1,4,1,5,2,2,0,0,0,0,2,1,1
113,1,1,0.99,0.53973733,3,1,,6,1,3,2,4,0,4,4,4,2,2,4,NA,2,NA,2,53,2,4,10,3,25000,1,1,3,5,4,-2,2,2,1,3,,2,3,5,4,2,1,0,0,0,0,1,3,2
114,1,1,0.79,0.43069948,3,1,,6,4,4,4,4,4,4,4,3,4,4,4,NA,3,NA,1,41,2,3,10,3,15000,1,1,2,2,2,1,1,2,1,15,,2,1,5,6,2,1,0,0,0,0,1,3,2
115,1,1,0.77,0.4197957,3,2,,4,2,1,1,1,1,1,1,1,3,3,3,NA,3,NA,2,29,1,3,10,3,40000,1,1,3,5,4,-2,1,8,4,15,,2,1,1,1,2,3,0,0,1,0,2,2,2
116,1,1,0.59,0.32166164,3,1,,6,4,4,3,3,4,4,4,6,3,4,4,NA,3,NA,1,44,2,4,12,4,125000,3,1,2,3,2,1,1,5,3,3,,2,3,1,2,2,4,0,1,1,0,2,1,1
117,1,1,0.5,0.27259461,1,2,,4,2,2,1,1,1,1,1,1,3,3,3,NA,3,NA,2,59,3,4,9,2,7500,1,1,5,2,2,2,1,5,3,1,,2,3,6,6,2,2,0,0,0,0,2,1,1
118,1,1,0.76,0.41434381,2,1,,6,4,3,3,3,3,4,4,5,3,4,4,NA,2,NA,2,60,3,4,7,1,25000,1,1,4,2,2,2,2,3,2,2,,1,1,1,5,2,3,0,0,0,0,3,1,1
119,1,1,5.12,2.79136881,3,1,,6,4,3,3,3,3,3,3,5,3,3,3,NA,2,NA,2,29,1,3,12,4,85000,2,1,3,2,2,2,1,5,3,4,,2,5,5,1,2,1,0,0,0,0,1,3,2
120,1,1,0.64,0.3489211,3,2,,4,1,3,0,0,0,0,0,5,3,3,3,NA,3,NA,2,82,3,6,12,4,0,1,1,-1,2,2,-1,1,2,1,5,,2,3,3,5,2,1,0,0,0,0,1,3,1
121,1,1,0.45,0.24533515,3,1,,6,4,3,3,4,4,4,4,5,3,3,4,NA,2,NA,1,64,3,5,10,3,125000,3,1,4,1,1,5,1,7,3,2,,2,5,6,5,2,1,0,0,0,0,1,1,1
122,1,1,0.79,0.43069948,1,2,,4,2,1,1,1,1,1,2,2,2,2,3,NA,2,NA,1,53,2,4,12,4,25000,1,1,5,1,1,5,1,5,3,2,,3,2,1,1,2,2,0,0,0,0,2,1,1
123,1,1,1.1,0.59970814,3,1,,6,2,3,3,3,3,3,3,6,3,3,3,NA,1,NA,1,74,3,5,9,2,40000,1,2,3,3,2,2,1,3,2,3,,2,5,1,5,2,2,0,0,0,0,2,1,1
124,1,1,0.76,0.41434381,2,2,,4,2,2,1,1,2,2,2,1,3,1,4,NA,3,NA,1,31,1,3,10,3,85000,2,1,3,1,1,4,1,4,2,3,,2,3,1,2,2,2,0,0,0,0,2,1,1
125,1,1,0.43,0.23443136,-1,1,,6,4,3,0,0,0,0,0,6,3,4,2,NA,1,NA,2,57,3,4,9,2,125000,3,1,2,1,1,4,1,4,2,15,,2,1,1,1,2,2,0,0,0,0,2,1,1
